"","id","lastpage","seffsab_1","seffsab_2","seffsab_20","seffsab_14","seffsab_6","seffsab_28","seffsab_48","seffsab_39","seffsab_46","seffsab_47","seffsab_4","seffsab_29","seffsab_44","seffsab_27","seffsab_43","seffsab_9"
"1","AL09KLB",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","AN03FRL",30,3,2,3,3,4,3,2,3,3,3,4,3,4,3,3,4
"3","AN06DIH",30,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4
"4","AN06KLG",30,4,4,3,3,4,4,2,3,4,4,4,3,4,4,4,4
"5","AN11BRP",24,4,3,4,1,3,4,2,3,4,3,3,2,3,4,2,3
"6","AN13RAE",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","AN20FRM",30,4,3,3,2,4,4,2,3,3,4,4,2,3,3,3,4
"8","AN23BEK",30,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"9","AN26JOL",30,4,3,4,2,4,3,3,4,4,4,4,4,4,4,3,4
"10","AN28SIS",30,4,4,4,3,3,3,2,3,3,3,3,3,4,3,4,4
"11","BA09ROD",30,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"12","BA13EDB",30,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4
"13","BA27HEA",30,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4
"14","BE01HUS",30,3,3,4,3,4,4,3,4,2,4,4,3,3,4,4,3
"15","BE18HAG",30,4,4,3,2,3,4,1,3,3,3,4,4,4,4,4,4
"16","BE31EGG",30,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,4
"17","BE31GES",30,3,2,4,3,3,4,2,3,4,4,3,2,3,4,4,4
"18","BO14HGB",30,3,3,4,4,3,3,4,4,3,3,3,4,4,3,4,4
"19","BR04HAW",30,4,3,4,3,4,3,3,4,4,3,4,4,4,4,4,4
"20","BR05JON",30,4,3,4,3,4,3,3,3,3,3,4,3,4,3,4,4
"21","BR12DIK",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","BR12WEH",30,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4
"23","BR28JOH",30,4,4,4,3,4,4,3,3,4,4,4,3,4,4,4,4
"24","BR31ERW",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","BÄ23KLW",30,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4
"26","CH01UWM",11,4,4,4,3,4,4,4,4,4,4,4,NA,4,4,4,4
"27","CH10HEW",30,4,3,4,3,3,4,2,4,4,3,3,3,4,3,4,4
"28","CH16UDM",30,4,3,4,3,4,3,3,4,4,3,3,2,4,3,3,4
"29","CH22WOB",30,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"30","CH26JÜW",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","CL09GEN",30,4,3,4,3,3,4,4,4,4,3,4,4,4,4,3,4
"32","CL17RAM",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","CO04HAB",9,4,4,4,4,4,3,3,3,4,4,3,4,4,4,4,4
"34","DA08HAO",30,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3
"35","DA20WOW",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
